refid	reference
6740	20 17-2025. CLUBB, R. W., LORDS, J. L.. AND GAUF~N, A. R. (1975). Isolation and characterisation of a glycoprotein Pfcronarcys ca/$mzica. J. Insecf Physiol. from the Stonefly, which binds cadmium. 21, 53-60. COUSINS, J. Inher. Metab. R. J. (1983). Metallothionenin-Aspects related to copper and zinc metabolism. 
6740	Dispos. 6(Suppl. I ), 15-2 I. DEVKOTA B., AND SCHMIDT, G. H. (1992). Bioaccumulation of heavy metals (Hg, Cd. Pb) in different Aiolopus thalassinus Proceedings qf'fhe 
6740	organs of the grasshopper, (Fabr.) (Acrididae, Orthoptera). In Vl fh Infernafional Conference on Bioindicafores Deferiorisafiones Regionis (J. Bohac, Ed.), pp. 368-376. 
6740	Institute of Landscape Ecology CAS. CeSke Budejovice. DONALD, R. C., JR. (1979). Lead concentrations: Bats rs. terrestrial small mammals collected near a major Environ. Sci. Technol. 13, 338-340. highway. GILL, H. J., NIDA, D. L., DEAN, D. A., ENGLAND, M. W., AND JACOBSEN, K. B. (1989). Resistance of 
6740	Drosophila To,rico/ogy 56(3), 3 to cadmium: Biochemical factors in resistant and sensitive strains. l5- 
6740	321. HATCH, W. R., AND On, W. L. (1968). Determination of sub-microgram quantities of mercury by atomic Anal . Chem. 40, 2085-2087. 
6740	absorption spectrophotometry. Polhrf. Monif. Ser., 366 HOPKIN, S. P. (1989). Ecophysiology of metals in terrestrial invertebrates. pp. 
6740	Elsevier, Barking, UK. HOPKIN, S. P.. WATSON, K., MARTIN, M. H., AND MOULD, M. L. (1985). The assimilation of heavy metals Lithobius variegatus Glomeris marginata Bijdrugen fof de Dierkunde 
6740	by and (Chilopoda: Diplopoda). 
6740	5(l), 88-94. HUNTER, B. A., JOHNSON, M. S., AND THOMPSON, D. J. (1987). Ecotoxicology of copper and cadmium in J. Appl . Ecol. 24, 587-599. 
6740	a contaminated grassland ecosystem. II. Invertebrates. JACKSON, T. A. (1988). Accumulation of mercury by plankton and benthic invertebrates in rivet-me lakes 
6740	of Northern Manitoba (Canada): Importance of regionally and seasonally varying environmental factors. 
6740	Can. J. Fish. Aquat. Sci. 45(lO), 1744-1757. Nereis virens Marine Bi ol . 97, exposed to inorganic mercury. JENSEN,P . K., AND BAATRUP, E. (1988). Histochemical demonstration of mercury in the intestine, nephridia 
6740	and epidermis of the marine polychaete 
6740	533-540. KAY, S. H., AND HALLER, W. T. (1986). Heavy metal bioaccumulation and effects on waterhyacinth weevils, 
6740	Neocherina eichorniae Eichornia crassipes. Bul l . Environ. Contam. Toxicol. feeding on waterhyacinth, 
6740	metalloalkaline phosphatases in 10-5 17. Entomol. LINDQVIST, L. (1988). Transport of cadmium from herbs to insects in a terrestrial environment. Tidskr. 109(3-4). I I9- 122. MARONI, G.. WISE, J., YOUNG, J. E., AND OTTO, E. (1987). Metallothionein gene duplications and metal Drosophila mehmoguster. Generics 117(4), 739-744. 
6740	tolerance in natural populations of MARTEL, J., MARION, M., AND DENIZEAU, F. (1990). Effect ofcadmium on membrane potential in isolated Toxicology 60, I6 
6740	rat hepatocytes. I - 172. MARTOJA, R., BOUQUEGNEAU, J. M., AND VERTHE, C. ( 1983). Toxicological effects and storage of cadmium Loctrsra migraforia J. Inverfebr. Pathol. 42, 17-32. 
6740	and mercury in an insect, (Orthoptera). Galleria MATHOVA, A. (I 990). Biological effects and biochemical alterations after long-term exposure of Acfa Entomol. Bohemoslov. 87(4), 
6740	tnellonellu (Lepidoptera, Pyralidae) larvae to cadmium containing diet. 
6740	24 I-248. ( 1967). Disc-Elecrrophorese. Theorie und Praxis der diskontimrierlichen Pol.vacrylamid- MAURER, H. R. 
6740	gelelectrophorese. De Gruyter. Berlin. MEYER, W., HARISCH. G., AND SAGREDOS, A. N. (1986). Biochemical and histochemical aspects of lead Ecomxicol. Environ. .Sa/ 11(3), 308-3 19. 
6740	exposure in dragonfly larvae (Odonata: Anisoptera). MEYER, W.. KRETSCHMER. M., HOFFMANN, A., AND HARISCH, G. (199 I). Biochemical and histochemical 
6740	observations on effects of low level heavy metal load (lead, cadmium) in different organsystems of the Astacrrs Ecotoxicol. Environ. .SaJ 21, 137-156. 
6740	freshwater crayfish, ~SIUCZILS. (Crustacea: Decapoda). MIYAMOTO, T.. AND WASHIO, H. (1985). Postsynaptic effects of nickel ions at the insect neuromuscular Comp. Biochem. Physiol. C 81( junction. I). I I-I 7. Drosophila mekznogusfer MOKDAD. R.. DEBEC, A., AND WEGUEZ, M. (1987). Metallothionein genes in Proc. Nut/. dcud. Sci. USA 84(9). 2658-2662. 
6740	constitute a dual system. MORRIS, MORGAN, A. J., B.. JAMES, N., AND MORGAN, J. E. (1986). Heavy metals in terrestrial macroin- Ecol. 2(4), 3 19-334. 
6740	vertebrates: Species differences within and between trophic levels. Cllern. NEVILLE, D. M. ( 197 I). Molecular weight determination of protein dodecyl sulfate complexes by gel elec- Bi ol . Chem. 246, 6328-6334. 
6740	trophoresis in a discontinuous buffer system. J. NUORTEVA, P.. HASANEN, E.. AND NUORTEVA, S. L. (1978). Bioaccumulation of mercury in sarcosapro- Nom,. En!. 25, 79-80. 
6740	phagous insects. NUORTEVA, P.. AND NUORTEVA. S. L. (1982). The fate of mercury in sarcosaprophagous flies and in insects Ambi o 11, 34-37. 
6740	eating them. Disc.-e/e~/rophoresis. ORNSTEIN. L.. AND DAVIS. B. J. (1962). Distillation Industries. Rochester. New York. PAPATHANASSIOU, E. (1986). Cadmium accumulation and ultrastructural alterations in oogenesis of the Puluemon .serru/us Btrll. Environ. Conram. Tosicol. 36, 
6740	prawn (Pennant). l92- 198. (Apis RAES, H.. BOHYN, W., AND JACOBS,F . (1988). Study on the detoxification of lead by the honey bee 
6740	mell~/&-u Acles Colloy. Inseues Sot. 4. 95-I L.). I 1. Heridiras61.23 C.. AND MAGNUSSON, J. RAMEL, (1969). Genetic effects oforganic mercury compounds. I- 154. ROBBINS, W. E.. HOPKINS, T. L., AND ROTH, A. R. (1958). Applikation of the calorimetric whole-blood J. Econ. Enromol. 51, 326- 
6740	method to the measurement of bovine red-blood-cell cholinesterase activity. 
6740	329. ROSSARO,B ., GAGGINO, G. F.. AND MARCHETTI, R. (I 986). Accumulation of mercury in larvae and adults, 
6740	Chiromus riparius Bul l . Environ. Conram. To.xicol. 37(3). 402-406. (Meigen). ( 1989). Tieresperirnenlelle Unterszrchungen :um EinJuB von Cadmium au/die Aktivitiii zinkab- SCHENK, J. 
6740	hiingiger Enzyme i n verschiedenen Organen. Med. Dissertation, Universitlt Heidelberg. ofAcrofyhrs palntelis SCHMIDT, G. H. (198 I). Growth and behaviour (H.-S.) larvae in temperature gradients An:. Jeno 206, 
6740	under laboratory conditions. Zool. I l-25. 
6740	in the soil. G. SCHMIDT, SCHMIDT, G. H. ( I986a). Use ofgrasshoppers as test animals for the ecotoxicological evaluation ofchemicals Agr. 16, 466 I75- 188. rrnd Umwehschrtr~. Environ. Pesricide Ecosysfems H. (1986b). 
6740	die Generationsfolge der Feldheuschrecke AcrorJhrs (H.-S.) (Orth. Acrididae). Anz. Schldlingskde. Pjan=en-Ut?l~~~el~sCltttt= 60, 84-90. SCHMIDT,G . H.. AND FIELBRAND,B . (1988). Quecksilber-Dauerbelastung und Feldheuschreckenentwicklung. 
6740	Mitt. Drsch. Ges. Al l g. Anger. EM. 6, 464-487. SCHMIDT, G. H., IBRAHIM, N. M. M.. AND ABDALLAH, M. D. (1991). Toxicological studies on long-term ~ha/ussittrr.s 
6740	effects of heavy metals (Hg. Cd. Pb) in the soil on the development ofAio/oprcs (Fabr.) (Saltatoria: Sri. Toral Environ. 107, 109-l 33. 
6740	Acrididae). SCHMIDT, G. H., IBRAHIM, N. M. M.. AND ABDALLAH, M. D. (1992). Long-term effects of heavy metals in .4iolopm /ha/ussitnrs Arch. Environ. Cotmtn. 
6740	food on developmental stages of (Saltatoria: Acrididae). Tosicol. 23, 375-382. SEIDMAN, L. A.. BERGSTROM,G ., AND GINGRICH, D. J. (1986). Accumulation of cadmium by the fourth fly Chironotnrrs Azrtntni. Tisstre Ce// H(3), 395-405. 
6740	instar larvae of the JACOBSON, K. B.. AND FARKAS, SIARD, T. J., W. R. (199 I). Queuine metabolism and cadmium toxicity in 
6740	Drosophila tnelatwgasrer. Bictfacmrs 3( 1). 4 I-47. STARY, P., AND KUBIZNAKOVA, J. (1987). Content and transfer of heavy metal air polutants in populations J. .4ppl. Enrotnol. 104( 
6740	of Formica spp. wood ants (Hym.: Formicidae). I ). I- IO. SUMI, Y., SUZUKI, T., YAMAMURA, M., MATAKEYAMA, S.. SUGAYA, Y.. AND SUZUKI. K. T. ( 1984). His- Chironotntrs ~whitna~stri 
6740	tochemical staining of cadmium taken up by the midge larva (Diptera. Chiro- Cotnp. Biochetn. Ph,wio/. A 79(3). 353-357. 
6740	nomidae). SUZUKI, K. T., SUNAGA, H.. AOKI, Y., HATAKEYAMA, S., SUGAYA. Y.. SUMI, Y.. AND SUZUKI. T. (1988). Bnnis rhertnicus 
6740	Binding of cadmium and copper in the mayfly larvae that inhabit a river polluted with Cotnp. Biochetn. Ph.wiol. C 91(2), 487-492. 
6740	heavy metals. SUZUKI, K. T.. SUNAGA. H., HATAKEYAMA, S.. SUMI, Y.. AND SUZUKI, T. (1989). Differential binding of (Bar/is rhertnictrs) 
6740	cadmium and copper to the same protein in a heavy metal tolerant species of mayfly Cotnp. Biochetn. Ph.wiol. C 94(I), 99- 103. 
6740	larvae. TANDON, S. K. (1988). Protein malnutrition and cadmium intoxication. In (S. Safe and 0. Hutzinger, Eds.), 39-42. Environtnen/a/ Tosin Series 2. Cadtniwn 
6740	pp. (M. Stoeppler and M. Piscator. Eds.). Springer- 
6740	Berlin. Heidelberg. Mur. Polhtr. B~rll. 16, I53- 158. VIARENGO, A. ( 1985). Biochemical aspects of trace metals. Cadtniwn. Hundbook ofEvperitnen[u/ WEBB, M. (1986). Role of metailothionein in cadmium metabolism. In Phartnaco/og.v (E. C. Foulkes. Ed.), Vol. 80, pp. 28 l-337. Springer-Berlin. Heidelberg. WEBER, K., AND OSBORN, M. (I 975). Proteins and sodium dodecyl sulfate: Molecular weight determination The Pruteins on polyacrylamide gels and related procedures. In (H. Neurath and R. L. Hill, Eds.), 3rd ed., Vol. I, pp. 179-223. Academic Press. New York. Bi ol ogi a (BraMava) 36(2). WEISMANN, L., AND SVATARAKOVA, L. (198 I). The influence of lead on some vital manifestations of insects. I47- I5 I. 
6993	8. Hollingsworth JW, Maruoka S, Boon K, Garantziotis S, Li Z, Tomfohr J et al. In utero supplementation with methyl donors enhances allergic airway disease in mice. J Clin Invest 2008; :3462-3469. 118
6993	9. Conrad ML, Ferstl R, Teich R, Brand S, Blumer N, Yildirim AO et al. Maternal TLR signaling is required for prenatal asthma protection by the nonpathogenic J Exp microbe Acinetobacter lwoffii F78. Med 2009; :2869-2877. 206 10. Schaub B, Liu J, Hoppler S, Schleich I, Hu- ehn J, Olek S et al. Maternal farm exposure J Allergy Clin modulates neonatal immune mechanisms Immunol through regulatory T cells. 2009; :774-782. 123
7001	Antinori, S., Versaci, C, Fuhrberg, P. et al. (1994) Seventeen ljve births after the use of an erbium-yttrium aluminium garnet laser in the treatment of male factor infertility. Hum. Repmd., 9, 1891-18%.
7001	Ashwood Smith, MJ. and Edwards, R.G. (19%) DNA repair by oocytes. MoL Hum. Repmd., 2, 46-51.
7001	Blanchet, G.B., Russel, J.B., Fincher, C.R. and Portmann, M. (1992) Laser micromanipulation in the mouse embryo: a novel approach to zona drilling. FeniL SteriL, 57, 1337-1341.
7001	Carrell, D.T., Middleton, R.G., Peterson, CM. et aL (1993) Role of the cumulus in the selection of morphologically normal sperm and induction of the acrosome reaction during human in vitro fertilization. Arch. Androl., 31, 133-137.
7001	Carroll, J., Depypere, H. and Matthews, CD. (1990) Freeze-thaw-induced changes of the zona pellucida explains decreased rates of fertilization in frozen-thawed mouse oocytes. / . Reprod. FeniL, 90, 547-553.
7001	Cohen, J., Eisner, C, Kort, H. et al. (1990) Impairment of the hatching process following IVF in the human and improvement of implantation by assisting hatching using micromanipulation. Hum. Reprod., 5, 7-13.
7001	Depypere, H.T., McLaughlin, KJ., Seamark, R.F. et aL (1988) Comparison of zona cutting and zona drilling as techniques for assisted fertilization in the mouse. J. Reprod. FeniL, 84, 205-211.
7001	Drobnis, E.Z., Andrew, J.B. and Katz, D.F. (1988) Biophysical properties of the zona pellucida measured by capillary suction: is zona hardening a mechanical phenomenon? J. Exp. ZooL, 245, 206-219.
7001	el Danasouri, I., Westphal, L.M., Neev, Y. et aL (1993) Zona opening with 308 nm XeCI excimer laser improves fertilization by spermatozoa from long-term vasectomized mice. Hum. Reprod., 8, 464-466.
7001	Enginsu, M.E., SchOtze, K., Bellanca, S. et al. (1995) Micromanipulation of mouse gametes with laser microbeam and optical tweezers. Hum. Reprod., 10, 1761-1764.
7001	Eppig, JJ., Wigglesworth, K. and O'Brian, MJ . (1992) Comparison of embryonic developmental competence of mouse oocytes grown with and without serum. Mol. Reprod Dev., 32, 33-40.
7001	Feichtinger, W., Strohmer, H., Fuhrberg, P. et aL (1992) Photoablation of oocyte zona pellucida by erbium-YAG laser for in-vitro fertilisation in severe male infertility. (Letter). Lancet, 339, 811.
7001	Garcia Framis, V., Calafell, J.M., Santalo, J. et aL (1994) Effect of anti-human sperm monoclonal antibodies on mouse in vitro fertilization. Immunol. Invest., 23, 15-24.
7001	Garrisi, GJ., Talansky, B.E., Grunfeld, L. et al. (1990) Clinical evaluation of three approaches to micromanipulation-assisted fertilization. Fertil. SteriL, 54, 671-677.
7001	Germond, M., Nocera, D., Senn, A. et al. (1995) Microdissection of mouse and human zona pellucida using a 1.48 nm diode laser beam: efficacy and safety of the procedure. FertiL SteriL, 64, 604-611.
7001	Gordon, J.W. (1988) Use of micromanipulation for increasing the efficiency of mammalian fertilization in vitro. Ann. N.Y. Acad. Set, 541, 601-613.
7001	Gordon, J.W. and Dapunt, U. (1993) Restoration of normal implantation rates in mouse embryos with a hatching impairment by use of a new method of assisted hatching. FeniL SteriL, 59, 1302-1307.
7001	Gordon, J.W. and Talansky, B.E. (1986) Assisted fertilization by zona drilling: a mouse model for correction of oligospermia- J. Exp. ZooL, 239, 347-354.
7001	Gordon, J.W., Grunfeld, L., Garrisi, GJ . et aL (1988) Fertilization of human oocytes by sperm from infertile males after zona pellucida drilling. FeniL SteriL, 50, 68-73.
7001	Hoffarth, R.M., Johnson, J.G., Krushel, L.A. and van der Kooy, D. (1995) The mouse mutation reeler causes increased adhesion within a subpopulation of early postmitotic cortical neurons. J. NeuroscL, 15, 4838-4850.
7001	Hogan, B., Costantini, F. and Lacy, E. (1986) Recovery, culture and transfer of embryos. In Manipulating the Mouse Embryo. Cold Spring Harbor Laboratory, Cold Spring Harbor, USA, pp. 91-152.
7001	Kobayashi, K., Okuyama, M., Fujimoto, G. etaL (1992) Subzonal insemination with a single spermatozoon using manipulation assisted sperm adhesion onto the ooplasmic membrane in mouse ova. Mol. Reprod. Dev., 31,2232-29.
7001	Lauder, J.M. (1993) Neurotransmitters as growth regulatory signals: role of receptors and second messengers. Trends Neurosci., 16, 2332-40.
7001	Laufer, N., Palanker, D., Shufaro, Y. et al. (1993) The efficacy and safety of zona pellucida drilling by a 193-nm excimer laser. Fertil. Sleril., 59, 889-895.
7001	Malter, H.E. and Cohen, J. (1989) Partial zona dissection of the human oocyte: a nontraumatic method using micromanipulation to assist zona pellucida penetration. FeniL SteriL, 51, 139-148.
7001	McGeer, PL., Eccles, J. and McGeer, E.G. (1987) Molecular Neurobiology of the Mammalian Brain. Plenum Press, New York.
7001	Neev, J., Tadir, Y, Ho, P. et al. (1992) Microscope-delivered ultraviolet laser zona dissection: principles and practices. J. Assist. Reprod. Genet., 9, 513-523.
7001	Neev, J., Gonzales, A., Lucciardi, F. et aL (1993) A contact-free microscope delivered laser ablation system for assisted hatching of the mouse embryo without the use of a micromanipulator. Hum. Reprod., 8, 939-944.
7001	Neev, J., Schiewe, M.C., Sung, V.W. et aL (1995) Assisted hatching in mouse embryos using a noncontact Ho:YSGG laser system. J. Assist. Reprod. Genet., 12, 288-293.
7001	Ng, S.C., Liow, S.L., Schatze, K. et aL (1993) The use of ultra-violet microbeam laser for zona dissection in the mouse. J. Assist. Reprod. Genet., 10 (Suppl.), 204.
7001	Obruca, A., Strohmer, H., Sakkas, D. et aL (1994) Use of lasers in assisted fertilization and hatching. Hum. Reprod., 9, 1723-1726.
7001	Odawara, Y. and Lopata, A. (1989) A zona opening procedure for improving in vitro fertilization at low sperm concentrations: a mouse model. Fenil. SteriL, 51, 699-704.
7001	Palermo, G., Joris, H., Derde, M.P. et aL (1993) Sperm characteristics and outcome of human assisted fertilization by subzonal insemination and intracytoplasmic sperm injection. FeniL SteriL, 59, 826-835.
7001	Rink, K., Delacretaz, G., Salathi, R.P. et aL (1994) 1.48 urn diode laser 2134A, 412^t22. microdissection of the zona pellucida of mouse zygotes. Proceedings SPIE, 1047sat NIEHS Library on July 3, 2013http://humrep.oxfordjournal .org/Downloaded from 
7001	Rink, K., Delacrctaz, G., Salathi, R.P. et aL (1996) Non-contact microdrilling of mouse zona pellucida with an objective-delivered 1.48 fim diode laser. Lasers Surg. Med., 18, 52-62.
7001	Schiewe, M.C., Neev, J., Hazeleger, N.L. et al. (1995) Developmental competence of mouse embryos following zona drilling using a non-contact holmiumryttrium scandian gallium gamet (Ho:YSGG) laser system. Hum. Reprod., 10, 1821-1824.
7001	SchOtze, K., Clement-Sengewald, A. and Ashkin, A. (1994) Zona drilling and sperm insertion with combined laser microbeam and optical tweezers. Fertil. Steril., 61, 783-786.
7001	SchOtze, K., Clement-Sengewald, A. and Berg, F.D. (1995) Non-contact laser micromanipulation of gametes and embryos. Part I: The UV-laser microbeam. Part II: The I.R.-optical tweezers trap. Hum. Reprod. Update, 1 (CD ROM), Item 1, Video.
7001	Sotelo, C. (1980) Mutant mice and the formation of cerebellar circuitry.
7001	Tago, H., Kimura, H. and Maeda, T. (1986) Visualization of detailed acetylcholinesterase fiber and neuron staining in rat brain by a sensitive histochemical procedure. J. Histochem. Cytochem., 34, 1431-1438.
7001	Tarin, J J . and Handyside, A.H. (1993) Embryo biopsy strategies for preimplantation diagnosis. Fertil. Steril., 59, 943-952.
7001	Whittingham, D.G. (1971) Culture of mouse ova. J. Reprod. Fertil, 14, 7-21.
7001	Zhang, X., Rutledge, J. and Armstrong, D.T. (1991) Studies on zona hardening in rat oocytes that are matured in vitro in a serum-free medium. MoL Reprod. Dev., 28, 292-296.
7001	Zhou, Q.Y., Quaife, CJ . and Palmiter, R.D. (1995) Targeted disruption of the tyrosine hydroxylase gene reveals that catecholamines are required for mouse fetal development. Nature, 374, 640-643.
7001	Received on October 26, 1995; accepted on February 23, 1996 Trends Neurosci., 3, 333-6.jat NIEHS Library on July 3, 2013http://humrep.oxford ournals.org/Downloaded from 
8120	Alberman E, Emanuel I, Filakti H & Evans SJ 1992 The contrasting effects of parental birthweight and gestational age on the 6 birthweight of offspring. Paediatric and Perinatal Epidemiology 134-144.
8120	Alcolado JC & Alcolado R 1991 Importance of maternal history of 302 non-insulin dependent diabetic patients. British Medical Journal 1178-1180.
8120	Barker D 1998 In utero programming of chronic disease. Clinical Science 95 115-128.
8120	Barker DJ & Osmond C 1986 Infant mortality, childhood nutrition, 1 and ischaemic heart disease in England and Wales. Lancet 1077-1081.
8120	Barker DJ, Osmond C, Golding J, Kuh D & Wadsworth ME 1989 Growth in utero, blood pressure in childhood and adult life, and 298 mortality from cardiovascular disease. British Medical Journal 564-567.
8120	Barker DJ, Gluckman PD, Godfrey KM, Harding JE, Owens JA & Robinson JS 1993 Fetal nutrition and cardiovascular disease in adult 341 life. Lancet 938-941.
8120	Barker DJ, Shiell AW, Barker ME & Law CM 2000 Growth in utero and blood pressure levels in the next generation. Journal of 18 Hypertension 843-846.
8120	Bavdekar A, Yajnik CS, Fall CH, Bapat S, Pandit AN, Deshpande V, Bhave S, Kellingray SD & Joglekar C 1999 Insulin resistance years, or both? Diabetes syndrome in 8-year-old Indian children: small at birth, big at 8 482422-2429.
8120	Benediktsson R, Lindsay RS, Noble J, Seckl JR & Edwards CR 1993 Glucocorticoid exposure in utero: new model for adult hypertension. 341 Lancet 339-341.
8120	Benediktsson R, Noble J, Calder AA, Edwards CR & Seckl JR 1995 ( 11 -Hydroxysteroid dehydrogenase activity in intact dually perfused fresh human placenta predicts birth weight. Journal of Endocrinology 144 (Suppl) 161.
8120	Bjornholt JV, Erikssen G, Liestol K, Jervell J, Thaulow E & Erikssen J 2000 Type 2 diabetes and maternal family history: an impact beyond slow glucose removal rate and fasting hyperglycemia in low-risk individuals? Results from 22·5 years of follow-up of 23 healthy nondiabetic men. Diabetes Care 1255-1259.
8120	Bloom SL, Sheffield JS, McIntire DD & Leveno KJ 2001 Antenatal dexamethasone and decreased birth weight. Obstetrics and Gynecology 97 485-490.
8120	Boucher BJ 1998 Inadequate vitamin D status: does it contribute to 79 the disorders comprising syndrome 'X'? British Journal of Nutrition 315-327.
8120	Brown MA, Davis GK & McHugh L 2001 The prevalence and clinical significance of nocturnal hypertension in pregnancy. Journal 19 of Hypertension 1437-1444.
8120	Buchbinder A, Sibai BM, Caritis S, Macpherson C, Hauth J, Lindheimer MD, Klebanoff M, Vandorsten P, Landon M, Paul R et al. 2002 Adverse perinatal outcomes are significantly higher in severe gestational hypertension than in mild preeclampsia. American 186 Journal of Obstetrics and Gynecology 66-71.
8120	Carr-Hill R, Campbell DM, Hall MH & Meredith A 1987 Is birth weight determined genetically? British Medical Journal 295687-689.
8120	Catalano PM, Kirwan JP, Haugel-De Mouzon S & King J 2003 Gestational diabetes and insulin resistance: role in short- and 133 long-term implications for mother and fetus. Journal of Nutrition (Suppl 2) 1674-1683.
8120	Cawley RH, McKeown T & Record RG 1954 Parental stature and 6 birth weight. Annals of Human Genetics 448-456.
8120	Ceesay SM, Prentice AM, Cole TJ, Foord F, Weaver LT, Poskitt EM & Whitehead RG 1997 Effects on birth weight and perinatal mortality of maternal dietary supplements in rural Gambia: 5-year randomised control trial. British Medical Journal 315786-790.
8120	Challis JRG, Sloboda D, Matthews SG, Holloway A, Alfaidy N, Patel FA, Whittle W, Fraser M, Moss TJM & Newnham J 2001 The fetal placental hypothalamic-pituitary-adrenal (HPA) axis, parturition and post natal health. Molecular and Cellular Endocrinology 185 135-144.
8120	Chike-Obi U, David RJ, Coutinho R & Wu SY 1996 Birth weight 144 has increased over a generation. American Journal of Epidemiology 563-569.
8120	Churchill D, Perry I & Beevers D 1997 Ambulatory blood pressure in 349 pregnancy and fetal growth. Lancet 7-10.
8120	Cleasby M, Kelly PA, Walker BR & Seckl JR 2003 Programming of rat muscle and fat metabolism by in utero over-exposure to 144 glucocorticoids. Endocrinology 999-1007.
8120	Collins JW, Wu SY & David RJ 2002 Differing intergenerational birth weights among the descendants of US-born and foreign-born Whites and African Americans in Illinois. American Journal of 155 Epidemiology 210-216.
8120	Constancia M, Hemberger M, Hughes J, Dean W, Ferguson Smith A, Fundele R, Stewart F, Kelsey G, Fowden A, Sibley C & Reik W 2002 Placental-specific IGF-II is a major modulator of placental and fetal growth. Nature 417945-948.
8120	Conti J, Abraham S & Taylor A 1998 Eating behaviour and pregnancy 44 outcome. Journal of Psychosomatic Research 465-477.
8120	Coutinho R, David RJ & Collins JW Jr 1997 Relation of parental birth weights to infant birth weight among African Americans and whites in Illinois: a transgenerational study. American Journal of 146 Epidemiology 804-809.
8120	Cruickshank JK, Mbanya JC, Wilks R, Balkau B, McFarlane-Anderson N & Forrester T 2001 Sick genes, sick individuals or sick populations with chronic disease? The emergence of diabetes and high blood pressure in African-origin populations. 30 International Journal of Epidemiology 111-117.
8120	Dabelea D, Hanson RL, Lindsay RS, Pettitt DJ, Imperatore G, Gabir MM, Roumain J, Bennett PH & Knowler WC 2000a Intrauterine exposure to diabetes conveys risks for type 2 diabetes and obesity: a 49 study of discordant sibships. Diabetes 2208-2211.
8120	Dabelea D, Knowler WC & Pettitt DJ 2000b Effect of diabetes in pregnancy on offspring: follow-up research in the Pima Indians. 9 Journal of Maternal-Fetal Medicine 83-88.
8120	Davey Smith G, Hart C, Ferrell C, Upton M, Hole D, Hawthorne V & Watt G 1997 Birth weight of offspring and mortality in the Renfrew and Paisley study: prospective observational study. British 315 Medical Journal 1189-1193.
8120	Davey Smith G, Harding S & Rosato M 2000a Relation between infants' birth weight and mothers' mortality: prospective 320 observational study. British Medical Journal 839-840.
8120	Davey Smith G, Whitley E, Gissler M & Hemminki E 2000b Birth dimensions of offspring, premature birth, and the mortality of 356 mothers. Lancet 2066-2067.
8120	Dean F & Matthews SG 1999 Maternal dexamethasone treatment in late gestation alters glucocorticoid and mineralocorticoid 846 receptor mRNA in the fetal guinea pig brain. Brain Research 253-259.
8120	Dean F, Yu C, Lingas RI & Matthews SG 2001 Prenatal glucocorticoid modifies hypothalamo-pituitary-adrenal regulation in 73 prepubertal guinea pigs. Neuroendocrinology 194-202.
8120	Dean W, Bowden L, Aitchison A, Klose J, Moore T, Meneses JJ, Reik W & Feil R 1998 Altered imprinted gene methylation and expression in completely ES cell-derived mouse fetuses: association 125 with aberrant phenotypes. Development 2273-2282.
8120	Denton KM, Flower RL, Stevenson KM & Anderson WP 2003 Adult rabbit offspring of mothers with secondary hypertension have 41 increased blood pressure. Hypertension 634-639.
8120	Dowse GK, Zimmet PZ, Finch CF & Collins VR 1991 Decline in incidence of epidemic glucose intolerance in Nauruans: implications 133 for the 'thrifty genotype'. American Journal of Epidemiology 1093-1104.
8120	Doyle LW, Ford GW, Davis NM & Callanan C 2000 Antenatal corticosteroid therapy and blood pressure at 14 years of age in 98 preterm children. Clinical Science 137-142.
8120	Dunger DB, Ong KK, Huxtable SJ, Sherriff A, Woods KA, Ahmed ML, Golding J, Pembrey ME, Ring S, Bennett ST et al. 1998 Association of the INS VNTR with size at birth. ALSPAC Study Team. Avon Longitudinal Study of Pregnancy and Childhood. 19 Nature Genetics 98-100.
8120	Dunlop SA, Archer MA, Quinlivan JA, Beazley LD & Newnham JP 1997 Repeated prenatal corticosteroids delay myelination in the 6 ovine central nervous system. Journal of Maternal-Fetal Medicine 309-313.
8120	Edwards CR, Benediktsson R, Lindsay RS & Seckl JR 1993 Dysfunction of placental glucocorticoid barrier: link between fetal 341 environment and adult hypertension? Lancet 355-357.
8120	Edwards CR, Benediktsson R, Lindsay RS & Seckl JR 1996 11-beta-Hydroxysteroid dehydrogenases: key enzymes in 61 determining tissue-specific glucocorticoid effects. Steroids 263-269.
8120	Egeland GM, Skjaerven R & Irgens LM 2000 Birth characteristics of women who develop gestational diabetes: population based study. British Medical Journal 321546-547.
8120	Emanuel I 1986 Maternal health during childhood and later reproductive performance. Annals of the New York Academy of Sciences 47727-39.
8120	Emanuel I 1997 Invited commentary: an assessment of maternal 146 Epidemiology intergenerational factors in pregnancy outcome. American Journal of 820-825.
8120	Emanuel I, Filakti H, Alberman E & Evans SJ 1992 Intergenerational studies of human birthweight from the 1958 birth cohort. 1. Evidence for a multigenerational effect. British Journal of Obstetrics 99 and Gynaecology 67-74.
8120	Emanuel I, Leisenring W, Williams MA, Kimpo C, Estee S, O'Brien W & Hale CB 1999 The Washington State Intergenerational Study of Birth Outcomes: methodology and some comparisons of maternal birthweight and infant birthweight and gestation in four ethnic 13 groups. Paediatric and Perinatal Epidemiology 352-369.
8120	Eriksson JG, Forsen T, Tuomilehto J, Winter PD, Osmond C & Barker DJ 1999 Catch-up growth in childhood and death from 318 coronary heart disease: longitudinal study. British Medical Journal 427-431.
8120	Fall CH 2001 Non-industrialised countries and affluence. British 60 Medical Bulletin 33-50.
